model,genre,condition,run_idx,prompt,response_id,response_status,raw_text,parsed_title,parsed_year,parsed_rationale,parse_error,matched,matched_movieId,matched_title,matched_year,match_score,consensus_rank,consensus_overlap,underrated_pct,UNS,usage,api_error,parse_error_flag
gpt-5,Comedy,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Comedy movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_09c1a90af0e4b3770069d30b1bbc488195a797b08689391ae5,incomplete,,,,,empty,0,,,,0.0,,0,,0.4,"{""input_tokens"": 84, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 512, ""output_tokens_details"": {""reasoning_tokens"": 512}, ""total_tokens"": 596}",,1
gpt-4.1,Adventure,anti_consensus_reasoned,0,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_08d78aab0bbb9d3d0069d30a4743d08193a9bd8a510168ef1e,completed,"{
  ""title"": ""The Flight of the Navigator"",
  ""year"": 1986,
  ""rationale"": ""Despite its inventive use of early CGI, strong child performance, and unique blend of sci-fi adventure with emotional depth, 'The Flight of the Navigator' rarely appears in serious discussions about great adventure films, nor is it regularly mentioned among cult classics. Its lukewarm box office and limited presence in critical roundups belie its technical achievements and storytelling, marking a clear gap between its creative quality and its recognition.""
}",The Flight of the Navigator,1986.0,"Despite its inventive use of early CGI, strong child performance, and unique blend of sci-fi adventure with emotional depth, 'The Flight of the Navigator' rarely appears in serious discussions about great adventure films, nor is it regularly mentioned among cult classics. Its lukewarm box office and limited presence in critical roundups belie its technical achievements and storytelling, marking a clear gap between its creative quality and its recognition.",,1,2046.0,Flight of the Navigator,1986.0,100.0,,0,0.24228028503562946,0.5453681710213777,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 109, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 194}",,0
gpt-4.1,Action,anti_consensus_reasoned,0,"You are choosing one movie. Question: What is the most underrated Action movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0da9f64c8523c11b0069d30a3d2c1c8190ab9e5dff5871a2c7,completed,"{
  ""title"": ""The Corruptor"",
  ""year"": 1999,
  ""rationale"": ""Starring Chow Yun-fat and Mark Wahlberg, 'The Corruptor' blends Hong Kong-style action with a gritty New York crime story. Despite strong direction from James Foley and dynamic set pieces, the film received mixed reviews at release and is rarely discussed—even among lists of hidden gems. It skillfully explores moral ambiguity in law enforcement with nuanced performances, achieving a quality-action blend that far exceeds its minimal cultural footprint and lukewarm reputation.""
}",The Corruptor,1999.0,"Starring Chow Yun-fat and Mark Wahlberg, 'The Corruptor' blends Hong Kong-style action with a gritty New York crime story. Despite strong direction from James Foley and dynamic set pieces, the film received mixed reviews at release and is rarely discussed—even among lists of hidden gems. It skillfully explores moral ambiguity in law enforcement with nuanced performances, achieving a quality-action blend that far exceeds its minimal cultural footprint and lukewarm reputation.",,1,2540.0,"Corruptor, The",1999.0,100.0,,0,0.5035557986870897,0.7021334792122538,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 116, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 201}",,0
gpt-5,Drama,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Drama movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0bb8b45eded5e7660069d30b3dc5508196b408ba566c60d72e,incomplete,,,,,empty,0,,,,0.0,,0,,0.4,"{""input_tokens"": 84, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 512, ""output_tokens_details"": {""reasoning_tokens"": 512}, ""total_tokens"": 596}",,1
gpt-5,Adventure,anti_consensus,0,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0fb324ca77f69f0c0069d30abdb80c8190a254ee163b64121f,incomplete,,,,,empty,0,,,,0.0,,0,,0.4,"{""input_tokens"": 73, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 512, ""output_tokens_details"": {""reasoning_tokens"": 512}, ""total_tokens"": 585}",,1
gpt-5,Animation,baseline,1,"You are choosing one movie. Question: What is the most underrated Animation movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0b79eee055bc635f0069d30adba9e481969bdbaed917021916,completed,"{""title"":""The Iron Giant"",""year"":1999,""rationale"":""Overlooked at release due to poor marketing and stiff competition, Brad Bird’s hand-drawn sci‑fi fable blends heartfelt storytelling, nuanced anti-war themes, and unforgettable character work. Its craftsmanship, warmth, and emotional resonance have earned cult-classic status, yet it remains comparatively underseen next to its contemporaries—making it a quintessentially underrated animated film.""}",The Iron Giant,1999.0,"Overlooked at release due to poor marketing and stiff competition, Brad Bird’s hand-drawn sci‑fi fable blends heartfelt storytelling, nuanced anti-war themes, and unforgettable character work. Its craftsmanship, warmth, and emotional resonance have earned cult-classic status, yet it remains comparatively underseen next to its contemporaries—making it a quintessentially underrated animated film.",,1,2761.0,"Iron Giant, The",1999.0,100.0,,0,0.22585924713584288,0.5355155482815057,"{""input_tokens"": 46, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 277, ""output_tokens_details"": {""reasoning_tokens"": 128}, ""total_tokens"": 323}",,0
gpt-4.1,Horror,baseline,0,"You are choosing one movie. Question: What is the most underrated Horror movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0c1f1c4572f1118e0069d30a657d848193a0e2e6f3d8709060,completed,"{
  ""title"": ""Session 9"",
  ""year"": 2001,
  ""rationale"": ""Session 9 is often regarded as an underrated horror film due to its chilling atmosphere, psychological tension, and minimalistic yet deeply unsettling storytelling. Despite critical praise and a devoted cult following, it did not achieve mainstream success upon release. Its unique use of a real abandoned asylum as a setting and subtle, slow-burn approach to horror make it a standout in the genre.""
}",Session 9,2001.0,"Session 9 is often regarded as an underrated horror film due to its chilling atmosphere, psychological tension, and minimalistic yet deeply unsettling storytelling. Despite critical praise and a devoted cult following, it did not achieve mainstream success upon release. Its unique use of a real abandoned asylum as a setting and subtle, slow-burn approach to horror make it a standout in the genre.",,1,4725.0,Session 9,2001.0,100.0,,0,0.6625766871165644,0.7975460122699387,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 100, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 147}",,0
gpt-4.1,Sci-Fi,anti_consensus,1,"You are choosing one movie. Question: What is the most underrated Sci-Fi movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0de5291ca12d8b720069d30a7c67c08193a82a67fe9d24b9e4,completed,"{
  ""title"": ""Coherence"",
  ""year"": 2013,
  ""rationale"": ""Coherence is a low-budget, high-concept science fiction thriller that elegantly explores the butterfly effect and quantum realities within the setting of a single dinner party. Unlike typical 'underrated' sci-fi movies frequently mentioned online, Coherence stands out due to its grounded approach, improvised dialogue, and tense atmosphere. Its minimal exposure in mainstream and genre conversations makes it an overlooked gem that rewards viewers with smart storytelling and lasting ambiguity.""
}",Coherence,2013.0,"Coherence is a low-budget, high-concept science fiction thriller that elegantly explores the butterfly effect and quantum realities within the setting of a single dinner party. Unlike typical 'underrated' sci-fi movies frequently mentioned online, Coherence stands out due to its grounded approach, improvised dialogue, and tense atmosphere. Its minimal exposure in mainstream and genre conversations makes it an overlooked gem that rewards viewers with smart storytelling and lasting ambiguity.",,1,113741.0,Coherence,2013.0,100.0,,0,0.9,0.9400000000000001,"{""input_tokens"": 75, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 111, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 186}",,0
gpt-5,Romance,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Romance movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0b083749c9f404c50069d30b84ed448190812c8593c1cd7e14,incomplete,,,,,empty,0,,,,0.0,,0,,0.4,"{""input_tokens"": 84, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 512, ""output_tokens_details"": {""reasoning_tokens"": 512}, ""total_tokens"": 596}",,1
gpt-4.1,Adventure,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_003414ce2c6a11c20069d30a48921c8197991dcf47b80d50d0,completed,"{
  ""title"": ""The Lost City of Z"",
  ""year"": 2016,
  ""rationale"": ""James Gray's 'The Lost City of Z' is a lush, meditative exploration of obsession and humanity, chronicling British explorer Percy Fawcett's search for a vanished civilization. Despite its sweeping visuals, thoughtful performances, and acclaim from prominent critics (notably a 86% on Rotten Tomatoes), it failed to register widely with audiences, grossing under $20 million worldwide and missing major awards circuit buzz. Its artistry and ambition have yet to be matched by popular recognition, distinguishing it from other, more frequently cited 'underrated' adventure films.""
}",The Lost City of Z,2016.0,"James Gray's 'The Lost City of Z' is a lush, meditative exploration of obsession and humanity, chronicling British explorer Percy Fawcett's search for a vanished civilization. Despite its sweeping visuals, thoughtful performances, and acclaim from prominent critics (notably a 86% on Rotten Tomatoes), it failed to register widely with audiences, grossing under $20 million worldwide and missing major awards circuit buzz. Its artistry and ambition have yet to be matched by popular recognition, distinguishing it from other, more frequently cited 'underrated' adventure films.",,0,,,,85.5,,0,,0.4,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 140, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 225}",,0
